,translations,test:macos,test:linux,inkscape:windows:x64,inkscape:macos,appimage:linux,inkscape:linux
31,653.447126,204.984112,225.941745,1635.154747,294.010589,473.519805,807.217146
58,664.324099,204.723892,232.312181,1729.353395,290.233192,1137.496138,3728.610409
96,694.472059,203.786975,238.540387,1737.829537,298.767676,37165.3283,939.96259
115,671.987048,201.971455,228.202013,4982.803056,298.410423,1457.026091,5700.771937
116,698.836554,203.582154,231.361998,4290.407754,312.293912,1390.771953,1268.258537
117,680.087121,223.604068,247.981762,4405.729069,685.761653,5849.80648,6240.233167
118,683.470485,202.890022,223.153371,4275.555682,295.329798,1112.498229,768.235899
119,694.74978,201.804107,222.789041,4303.731516,296.281858,1272.684771,842.00131
120,695.712891,204.424458,227.047777,4329.186821,314.055652,1349.126584,1120.417107
121,704.041278,204.521126,228.068952,4943.697682,299.00611,5845.347017,7265.240907
122,694.669651,205.07178,234.79261,4313.628138,299.197619,1136.239754,3969.067435
123,688.688618,202.10529,224.013563,1932.250762,292.711654,1100.113583,6430.804555
124,686.187925,205.358833,229.473193,4839.839693,299.625264,5418.762175,6171.7685
125,692.623767,209.047762,228.710573,4404.893726,643.454411,1043.250416,6003.513976
126,687.447241,204.748629,226.060912,4613.84642,330.9967,5642.662695,5940.022961
127,679.095304,201.681471,243.144113,4887.915693,295.351865,1063.778664,770.221112
128,691.158818,202.994847,238.18527,4565.188567,296.574897,1147.575951,809.70881
129,691.962173,204.076278,222.391796,4544.668545,291.831542,1093.59761,944.244329
130,695.818464,205.586147,226.42335,4821.585222,294.926963,1052.264337,916.945451
131,684.069079,203.618315,239.018886,2517.626654,294.900595,1079.69293,8144.725029
132,716.117091,202.899859,222.072547,4557.959901,293.096098,1454.793489,2761.895594
133,693.375845,205.556891,226.546871,4563.360085,309.458784,5884.884057,3751.455415
134,691.083182,202.85918,226.992373,4543.309378,289.596636,6078.153557,3469.267759
135,700.268785,202.467683,227.641935,4559.689515,447.085899,5788.389365,5239.720149
136,683.513951,204.23649,225.55154,4826.801257,291.604231,6240.355034,7965.697014
137,715.978712,224.870891,247.741072,4548.035981,727.187621,5793.215243,6633.202076
138,692.946602,203.988722,234.866504,4523.641003,293.37966,5759.588515,6675.110928
139,697.397259,200.153112,227.019137,4415.125532,313.856827,6654.640694,1226.429814
140,744.614136,203.956955,224.574833,4395.22566,249.827035,5801.880255,1288.430408
141,697.83701,204.189348,229.072024,4567.109169,298.712848,6450.31146,7603.940739
142,694.554883,209.583582,230.083276,4386.878917,728.523074,5429.770258,6722.700214
143,686.386776,205.897349,220.767148,3950.162256,295.869634,1094.285429,4412.741238
144,690.582206,203.088701,240.463135,4272.285493,299.257344,1125.675436,911.137421
145,689.19818,202.510115,223.682659,3956.697538,298.615759,1047.522126,820.553248
146,715.062146,205.645331,231.777114,3941.016771,293.756956,1092.957727,988.820212
147,689.175241,203.135759,251.351374,3968.683471,311.42511,1479.36774,1260.19242
148,700.389022,204.588542,245.232646,3864.235093,294.674319,1095.129705,947.512307
149,696.623714,204.50662,241.507367,3864.020815,298.512265,1139.178776,3595.240769
150,696.599123,202.506367,230.260329,4268.004834,293.133007,1127.802901,898.055304
151,688.411881,204.762193,232.820523,3928.547389,296.621051,1204.396232,780.614102
152,680.308925,209.513506,221.403246,3912.144994,688.487408,1075.618607,7038.763954
153,699.413797,221.103978,247.893217,4326.96463,706.247264,5720.183977,6821.496258
154,691.819395,201.93924,231.053208,3893.800622,293.530936,1283.097423,892.616928
155,700.377734,201.443109,225.565811,3932.925617,290.752976,1099.625642,836.870641
156,697.545202,202.672996,234.370729,2502.24945,297.703594,1121.753275,6203.936535
157,683.892302,202.222891,233.452471,4397.443996,296.648208,5579.34731,6297.010985
176,697.814512,206.702271,235.589252,1768.899467,300.543633,1051.081104,856.409281
180,727.196508,27.251396,238.653288,2916.529681,293.830476,1107.919457,878.670421
181,686.83694,204.732376,224.919474,44.200113,302.10282,5537.742857,6089.709742
190,682.065939,208.321686,234.981316,4154.821007,361.714492,1866.585948,5705.79954
196,700.27112,208.72443,225.067677,42.752753,580.273863,5536.305472,6478.350121
210,96.438125,208.566751,232.882782,5426.746753,379.112838,6841.509515,8579.359431
213,695.801492,211.473985,232.386292,2675.684097,314.095143,1368.413922,901.037657
218,691.008935,207.874748,235.379565,1736.762248,304.795373,1362.409514,961.527247
221,688.850556,217.699833,234.167531,4538.434623,697.704395,5740.272238,6117.739483
227,90.546251,217.560123,233.358212,5052.649623,777.079733,6715.369387,7978.072933
240,88.13022,208.262607,229.041413,1800.092917,309.445032,1445.006079,871.067601
242,696.084332,207.466815,251.285944,1787.163069,303.486099,1394.135826,1216.424995
243,89.611921,211.325355,226.760522,1770.608566,306.832076,1380.958058,983.447327
244,677.462658,216.049735,228.884091,4971.768836,723.870978,6676.423537,7462.488885
268,703.33696,210.514956,229.287871,2408.944867,297.098247,1440.681917,785.348972
318,783.759597,205.995191,299.212029,1861.276506,302.591631,1785.804019,1027.651562
391,685.803315,195.303248,209.540869,1773.895541,297.873952,1359.800728,977.559045
435,684.153514,215.021871,221.572417,1704.248925,684.874208,1318.988021,857.170997
438,697.139041,209.20804,226.934678,1728.645408,295.369261,1339.495988,781.393724
439,687.402538,212.575482,248.359726,4971.821808,774.910514,6503.629001,7819.733272
452,667.99267,202.234546,207.709038,2653.107915,424.059932,2758.629315,2888.01018
457,673.802307,195.701837,231.075581,60.705914,286.150571,1322.337469,869.685499
460,682.547917,179.401643,213.243511,1784.653861,287.391034,1316.159496,897.692568
474,95.379359,194.836888,229.057457,2646.296041,287.548837,2887.749475,2805.968788
475,662.694576,193.101481,235.697198,1732.31616,285.09872,1361.480204,872.067271
476,665.245611,195.077918,230.977135,1745.787507,286.661265,1312.84667,886.010725
477,666.776444,194.402894,241.129208,1740.90133,284.597475,1339.656069,872.148491
478,673.23999,194.313674,231.17925,1930.686082,302.026016,1713.228195,1163.600146
479,672.060083,193.848543,235.157248,1920.557535,296.692635,1596.720586,1046.109967
480,670.701663,193.291977,231.120211,1800.897221,279.294973,1318.837627,876.146546
481,671.085911,193.223461,238.089377,1744.332487,283.220296,1328.506033,863.841874
482,671.958188,195.347501,243.578543,1719.29435,279.376564,1361.881415,897.882479
483,673.754899,193.065439,238.184847,1730.935107,284.628242,1388.37544,960.711459
484,682.548302,193.898772,237.978095,1728.689885,289.464015,1377.240603,908.644029
501,655.467157,193.694808,241.798232,2367.7785,283.717332,5385.108355,6286.800903
513,659.786897,188.649388,227.449166,1767.573789,288.041731,1381.986912,752.900257
577,607.13157,191.791568,222.71023,74.457155,283.732282,1326.498614,874.698596
579,603.429827,192.297574,234.990151,1750.243644,276.922138,1314.419709,869.177266
580,644.019098,195.195666,234.800449,1729.616145,280.059737,1375.125608,806.826711
584,607.614536,192.15145,240.594616,1757.396294,291.537613,1297.465562,896.149833
590,619.761369,195.329978,226.552465,59.002034,293.865805,1442.580803,2109.06731
639,94.704426,190.627623,229.598904,3020.630917,282.39355,1379.76604,897.672594
640,608.928897,172.17031,207.118857,1781.896851,283.143326,1323.936525,749.728392
641,93.565407,186.730138,221.399252,1713.360974,282.229334,1383.858884,769.720686
673,604.373494,192.255033,235.697633,1723.214426,283.159248,1293.940921,951.066109
682,623.745968,194.869744,229.328613,1636.614619,284.626021,1386.899762,822.07101
688,619.286861,192.220987,243.169494,99.278103,294.191282,1752.014203,1189.029931
703,611.654627,194.475051,235.689325,57.955806,290.702988,1425.142862,927.20379
718,945.510986,518.964706,236.134485,2533.604057,722.996026,2724.786222,2688.87411
