,translations,test:macos,test:linux,inkscape:windows:x64,inkscape:macos,appimage:linux,inkscape:linux
31,True,True,True,True,True,False,True
58,True,True,True,False,True,True,True
96,True,True,True,True,True,False,True
115,True,True,True,False,True,True,True
116,True,True,True,False,True,True,True
117,True,True,True,False,True,True,True
118,True,True,True,False,True,True,True
119,True,True,True,False,True,True,True
120,True,True,True,False,True,True,True
121,True,True,True,False,True,True,True
122,True,True,True,False,True,True,True
123,True,True,True,False,True,True,True
124,True,True,True,False,True,True,True
125,True,True,True,False,True,True,True
126,True,True,True,False,True,True,True
127,True,True,True,False,True,True,True
128,True,True,True,False,True,True,True
129,True,True,True,False,True,True,True
130,True,True,True,False,True,True,True
131,True,True,True,False,True,True,True
132,True,True,True,False,True,True,True
133,True,True,True,False,True,True,True
134,True,True,True,False,True,True,True
135,True,True,True,False,True,True,True
136,True,True,True,False,True,True,True
137,True,True,True,False,True,True,True
138,True,True,True,False,True,True,True
139,True,True,True,False,True,True,True
140,True,True,True,False,True,True,True
141,True,True,True,False,True,True,True
142,True,True,True,False,True,True,True
143,True,True,True,False,True,True,True
144,True,True,True,False,True,True,True
145,True,True,True,False,True,True,True
146,True,True,True,False,True,True,True
147,True,True,True,False,True,True,True
148,True,True,True,False,True,True,True
149,True,True,True,False,True,True,True
150,True,True,True,False,True,True,True
151,True,True,True,False,True,True,True
152,True,True,True,False,True,True,True
153,True,True,True,False,True,True,True
154,True,True,True,False,True,True,True
155,True,True,True,False,True,True,True
156,True,True,True,False,True,True,True
157,True,True,True,False,True,True,True
176,True,False,False,True,True,True,True
180,True,False,True,True,True,True,True
181,True,True,True,False,True,True,True
190,False,True,True,True,True,True,True
196,True,True,True,False,True,True,True
210,False,True,True,True,True,True,True
213,True,False,False,True,True,True,True
218,True,False,False,True,True,True,True
221,True,False,False,True,True,True,True
227,False,True,True,True,True,True,True
240,False,True,True,True,True,True,True
242,True,False,False,True,True,True,True
243,False,True,True,True,True,True,True
244,False,False,True,True,True,True,True
268,False,True,True,True,True,True,True
318,False,True,True,True,True,True,True
391,True,False,False,True,True,True,True
435,True,False,True,True,True,True,True
438,True,False,False,True,True,True,True
439,True,False,False,True,True,True,True
452,True,True,False,True,True,True,True
457,True,True,True,False,True,True,True
460,True,True,False,True,True,True,True
474,False,True,True,True,True,True,True
475,True,True,False,True,True,True,True
476,True,True,False,True,True,True,True
477,True,True,False,True,True,True,True
478,True,True,False,True,True,True,True
479,True,True,False,True,True,True,True
480,True,True,False,True,True,True,True
481,True,True,False,True,True,True,True
482,True,True,False,True,True,True,True
483,True,True,False,True,True,True,True
484,True,True,False,True,True,True,True
501,True,True,False,True,True,True,True
513,True,True,False,True,True,True,True
577,True,True,True,False,True,True,True
579,True,False,False,True,True,True,True
580,True,False,False,True,True,True,True
584,True,False,False,True,True,True,True
590,True,True,True,False,True,True,True
639,False,True,True,True,True,True,True
640,True,False,False,True,True,True,True
641,False,True,True,True,True,True,True
673,False,True,True,True,True,True,True
682,False,True,True,True,True,True,True
688,True,True,True,False,True,True,True
703,True,True,True,False,True,True,True
718,False,True,True,True,True,True,True
750,False,True,True,True,True,True,True
769,True,True,False,True,True,True,True
824,False,True,True,True,True,True,True
827,True,True,True,False,True,True,True
831,True,True,True,False,True,False,True
879,False,True,True,True,True,True,True
880,False,True,True,True,True,True,True
888,True,False,False,True,True,True,True
892,True,True,False,True,True,True,True
894,True,True,False,True,True,True,True
895,True,True,False,True,True,True,True
896,True,True,False,True,True,True,True
897,True,True,False,True,True,True,True
900,True,True,False,True,True,True,True
903,True,True,False,False,True,True,True
904,True,True,True,False,True,True,True
916,True,True,True,False,True,True,True
927,True,True,False,True,True,True,True
944,True,True,True,False,True,True,True
945,True,True,True,False,True,True,True
953,True,True,True,False,True,True,True
954,True,False,False,True,True,True,True
955,True,True,False,True,True,True,True
961,True,True,True,False,True,False,True
962,True,True,True,False,True,False,True
970,True,True,True,False,True,True,True
1060,True,True,True,False,True,True,True
1077,True,True,True,False,True,True,True
1079,True,True,True,False,True,True,True
1080,True,True,True,False,True,True,True
1081,True,True,True,False,True,True,True
1082,True,True,True,False,True,True,True
1094,True,True,False,True,True,True,True
1096,True,False,False,True,True,True,True
1185,False,False,False,True,True,True,True
1225,True,True,True,False,True,True,True
1239,True,False,True,True,True,True,True
1240,True,False,True,False,True,True,True
1241,True,True,True,False,True,True,True
1242,True,True,True,False,True,True,True
1243,True,True,True,False,True,True,True
1244,True,True,True,False,True,True,True
1245,True,False,True,False,True,True,True
1246,True,True,True,False,True,True,True
1247,True,True,True,False,True,True,True
1248,True,True,True,False,True,True,True
1249,True,True,True,False,True,True,True
1250,True,False,False,False,True,True,True
1251,True,False,False,False,True,True,True
1252,True,False,False,True,True,True,True
1253,True,False,False,True,True,True,True
1254,True,False,False,True,True,True,True
1255,True,False,False,True,True,True,True
1256,True,False,False,True,True,True,True
1257,True,False,False,True,True,True,True
1258,True,False,False,True,True,True,True
1259,True,False,False,True,True,True,True
1260,True,False,False,True,True,True,True
1261,False,False,False,True,True,True,True
1262,True,False,False,True,True,True,True
1263,False,False,False,True,True,True,True
1264,True,False,False,True,True,True,True
1265,True,False,False,True,True,True,True
1266,True,False,False,True,True,True,True
1267,True,False,False,False,True,True,True
1268,True,False,False,True,True,True,True
1269,True,False,False,True,True,True,True
1270,True,False,False,True,True,True,True
1271,True,False,False,True,True,True,True
1272,True,False,False,True,True,True,True
1273,True,False,False,True,True,True,True
1274,True,False,False,True,True,True,True
1275,True,False,False,True,True,True,True
1276,True,False,False,True,True,True,True
1277,True,False,False,True,True,True,True
1278,True,False,False,True,True,True,True
1279,True,False,False,True,True,True,True
1280,True,False,False,False,True,True,True
1281,True,False,False,True,True,True,True
1282,True,False,False,True,True,True,True
1283,True,False,False,True,True,True,True
1293,True,True,False,True,True,True,True
1302,True,True,False,True,True,True,True
1303,True,True,False,True,True,True,True
1304,True,True,False,True,True,True,True
1305,True,True,False,True,True,True,True
1306,True,True,False,True,True,True,True
1307,True,True,False,True,True,True,True
1308,True,True,False,True,True,True,True
1311,True,True,True,False,True,True,True
1316,True,True,False,True,True,True,True
1325,False,True,True,True,True,True,True
1338,True,True,True,False,True,True,True
1366,True,False,True,True,True,True,True
1386,False,True,True,True,True,True,True
1402,False,True,True,True,True,True,True
1403,False,True,True,True,True,True,True
1419,True,True,False,True,True,True,True
1431,False,True,True,True,True,True,True
1432,True,True,True,False,True,True,True
1458,True,False,True,True,True,True,True
1461,False,False,False,True,True,True,True
1468,False,True,True,True,True,True,True
1471,False,True,True,True,True,True,True
1482,True,False,False,True,True,True,True
1488,True,True,True,True,True,False,True
1502,False,True,True,True,True,True,True
1531,False,True,True,True,True,True,True
1557,False,True,True,True,True,True,True
1561,False,True,True,True,True,True,True
1563,False,True,True,True,True,True,True
1564,False,True,True,True,True,True,True
1565,False,True,True,True,True,True,True
1566,False,True,True,True,True,True,True
1578,False,True,True,True,True,True,True
1580,False,True,True,True,True,True,True
1594,False,True,True,True,True,True,True
1604,True,False,False,True,True,True,True
1612,True,False,False,True,True,True,True
1619,False,True,True,True,True,True,True
1621,True,False,False,True,True,True,True
1625,False,True,True,True,True,True,True
1626,False,True,True,True,True,True,True
1643,False,True,True,True,True,True,True
1665,False,True,True,True,True,True,True
